sad_id,rank,neighbor,similarity
18_Ballpark-Village_St-Louis-MO,5,10_Pacific-Yards_Brooklyn-NY,0.4554
19_Arlington-Entertainment-District_Arlington-TX,1,28_The-Rock-at-La-Cantera_San-Antonio-TX,0.7425
19_Arlington-Entertainment-District_Arlington-TX,2,23_Power-and-Light-District_Kansas-City-MO,0.7167
19_Arlington-Entertainment-District_Arlington-TX,3,24_The-Star_Frisco-TX,0.6876
19_Arlington-Entertainment-District_Arlington-TX,4,27_Treasure-Island-Center_St-Paul-MN,0.6715
19_Arlington-Entertainment-District_Arlington-TX,5,17_The-Boxyard_Seattle-WA,0.6308
20_Astor-Park_Columbus-OH,1,33_ICE-District_Edmonton-AB,0.7342
20_Astor-Park_Columbus-OH,2,13_Gallagher-Way_Chicago-IL,0.6484
20_Astor-Park_Columbus-OH,3,08_Water-Street_Tampa-FL,0.6264
20_Astor-Park_Columbus-OH,4,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.5093
20_Astor-Park_Columbus-OH,5,17_The-Boxyard_Seattle-WA,0.3877
21_Hub-on-Causeway_Boston-MA,1,10_Pacific-Yards_Brooklyn-NY,0.6342
21_Hub-on-Causeway_Boston-MA,2,36_Downtown-Commons_Sacramento-CA,0.5016
21_Hub-on-Causeway_Boston-MA,3,26_LECOM-Harborcenter_Buffalo-NY,0.4611
21_Hub-on-Causeway_Boston-MA,4,14_McGregor-Square_Denver-CO,0.4286
21_Hub-on-Causeway_Boston-MA,5,03_Titletown_Green-Bay-WI,0.3713
22_True-North-Square_Winnipeg-MB,1,27_Treasure-Island-Center_St-Paul-MN,0.5846
22_True-North-Square_Winnipeg-MB,2,36_Downtown-Commons_Sacramento-CA,0.5706
22_True-North-Square_Winnipeg-MB,3,33_ICE-District_Edmonton-AB,0.5409
22_True-North-Square_Winnipeg-MB,4,05_Downtown-East_Minneapolis-MN,0.5294
22_True-North-Square_Winnipeg-MB,5,32_District-Detroit_Detroit-MI,0.5285
23_Power-and-Light-District_Kansas-City-MO,1,17_The-Boxyard_Seattle-WA,0.7832
23_Power-and-Light-District_Kansas-City-MO,2,19_Arlington-Entertainment-District_Arlington-TX,0.7167
23_Power-and-Light-District_Kansas-City-MO,3,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.6025
23_Power-and-Light-District_Kansas-City-MO,4,28_The-Rock-at-La-Cantera_San-Antonio-TX,0.5891
23_Power-and-Light-District_Kansas-City-MO,5,24_The-Star_Frisco-TX,0.5878
24_The-Star_Frisco-TX,1,12_The-Battery_Atlanta-GA,0.7342
24_The-Star_Frisco-TX,2,19_Arlington-Entertainment-District_Arlington-TX,0.6876
24_The-Star_Frisco-TX,3,32_District-Detroit_Detroit-MI,0.6714
24_The-Star_Frisco-TX,4,27_Treasure-Island-Center_St-Paul-MN,0.6513
24_The-Star_Frisco-TX,5,05_Downtown-East_Minneapolis-MN,0.6428
25_Viking-Lakes_Eagan-MN,1,31_Patriot-Place_Foxborough-MA,0.6649
25_Viking-Lakes_Eagan-MN,2,04_Hollywood-Park_Inglewood-CA,0.5619
25_Viking-Lakes_Eagan-MN,3,37_Galaxy-Park_Carson-CA,0.5445
25_Viking-Lakes_Eagan-MN,4,24_The-Star_Frisco-TX,0.4807
25_Viking-Lakes_Eagan-MN,5,26_LECOM-Harborcenter_Buffalo-NY,0.3439
26_LECOM-Harborcenter_Buffalo-NY,1,31_Patriot-Place_Foxborough-MA,0.4926
26_LECOM-Harborcenter_Buffalo-NY,2,21_Hub-on-Causeway_Boston-MA,0.4611
26_LECOM-Harborcenter_Buffalo-NY,3,29_Parmer-Pond-District_Austin-TX,0.4574
26_LECOM-Harborcenter_Buffalo-NY,4,25_Viking-Lakes_Eagan-MN,0.3439
26_LECOM-Harborcenter_Buffalo-NY,5,32_District-Detroit_Detroit-MI,0.2998
27_Treasure-Island-Center_St-Paul-MN,1,12_The-Battery_Atlanta-GA,0.7768
27_Treasure-Island-Center_St-Paul-MN,2,06_Victory-Park_Dallas-TX,0.7667
27_Treasure-Island-Center_St-Paul-MN,3,32_District-Detroit_Detroit-MI,0.7034
27_Treasure-Island-Center_St-Paul-MN,4,19_Arlington-Entertainment-District_Arlington-TX,0.6715
27_Treasure-Island-Center_St-Paul-MN,5,16_Mission-Rock_San-Francisco-CA,0.6654
28_The-Rock-at-La-Cantera_San-Antonio-TX,1,19_Arlington-Entertainment-District_Arlington-TX,0.7425
28_The-Rock-at-La-Cantera_San-Antonio-TX,2,23_Power-and-Light-District_Kansas-City-MO,0.5891
28_The-Rock-at-La-Cantera_San-Antonio-TX,3,02_Sportsmans-Park_Glendale-AZ,0.5514
28_The-Rock-at-La-Cantera_San-Antonio-TX,4,15_Gallagher-Square_San-Diego-CA,0.443
28_The-Rock-at-La-Cantera_San-Antonio-TX,5,24_The-Star_Frisco-TX,0.4132
29_Parmer-Pond-District_Austin-TX,1,07_LA-Live_Los-Angeles-CA,0.765
29_Parmer-Pond-District_Austin-TX,2,06_Victory-Park_Dallas-TX,0.751
29_Parmer-Pond-District_Austin-TX,3,12_The-Battery_Atlanta-GA,0.7222
29_Parmer-Pond-District_Austin-TX,4,16_Mission-Rock_San-Francisco-CA,0.7185
29_Parmer-Pond-District_Austin-TX,5,27_Treasure-Island-Center_St-Paul-MN,0.6226
30_WSFS-Bank-Sportsplex_Chester-PA,1,32_District-Detroit_Detroit-MI,0.5022
30_WSFS-Bank-Sportsplex_Chester-PA,2,11_Thrive-City_San-Francisco-CA,0.4318
30_WSFS-Bank-Sportsplex_Chester-PA,3,12_The-Battery_Atlanta-GA,0.4282
30_WSFS-Bank-Sportsplex_Chester-PA,4,16_Mission-Rock_San-Francisco-CA,0.3876
30_WSFS-Bank-Sportsplex_Chester-PA,5,02_Sportsmans-Park_Glendale-AZ,0.3513
31_Patriot-Place_Foxborough-MA,1,25_Viking-Lakes_Eagan-MN,0.6649
31_Patriot-Place_Foxborough-MA,2,26_LECOM-Harborcenter_Buffalo-NY,0.4926
31_Patriot-Place_Foxborough-MA,3,21_Hub-on-Causeway_Boston-MA,0.3356
31_Patriot-Place_Foxborough-MA,4,04_Hollywood-Park_Inglewood-CA,0.2837
31_Patriot-Place_Foxborough-MA,5,03_Titletown_Green-Bay-WI,0.2715
32_District-Detroit_Detroit-MI,1,05_Downtown-East_Minneapolis-MN,0.834
32_District-Detroit_Detroit-MI,2,16_Mission-Rock_San-Francisco-CA,0.7605
32_District-Detroit_Detroit-MI,3,12_The-Battery_Atlanta-GA,0.7545
32_District-Detroit_Detroit-MI,4,06_Victory-Park_Dallas-TX,0.7073
32_District-Detroit_Detroit-MI,5,27_Treasure-Island-Center_St-Paul-MN,0.7034
33_ICE-District_Edmonton-AB,1,20_Astor-Park_Columbus-OH,0.7342
